1 2 3
19 2 13
20 1 2
12 1 10
18 1 19
4 2 4
7 1 6
18 1 24
26 1 20
13 2 19
17 1 15
14 1 6
17 1 16
23 1 18
8 1 4
8 2 13
15 2 16
6 1 12
11 2 5
18 1 22
6 1 11
15 1 6
18 1 8
18 1 13
3 2 18
19 1 17
1 1 1
6 1 5
1 5 1
24 1 23
1 1 7
1 2 10
12 1 1
20 1 1
24 1 15
14 2 15
15 2 23
23 2 25
5 2 11
1 2 7
25 1 18
16 1 6
2 2 1
9 2 9
17 2 18
7 2 7
19 2 19
1 4 1
4 1 1
24 1 25
13 1 6
22 1 6
17 1 14
11 2 1
9 1 6
4 1 2
10 1 9
20 1 18
20 1 3
19 1 18
19 2 24
6 1 1
13 2 22
2 1 1
11 2 11
1 2 11
? 1 b'CppProgramData/6/1001.cpp'

1 2 3
19 2 13
20 1 2
12 1 10
18 1 19
4 2 4
7 1 6
18 1 24
26 1 20
6 1 18
4 1 1
14 1 6
17 1 16
23 1 18
8 1 4
8 2 13
15 2 16
19 2 22
6 1 12
11 2 5
18 1 22
10 1 9
15 1 6
17 1 15
18 1 8
8 2 8
18 1 13
3 2 18
19 1 17
1 1 1
6 1 5
1 5 1
24 1 23
1 1 7
18 1 6
1 2 10
12 1 1
20 1 1
25 1 18
14 2 15
15 2 23
23 2 25
5 2 11
1 2 7
16 1 6
13 2 19
2 2 1
9 2 9
17 2 18
7 2 7
19 2 19
1 4 1
24 1 25
13 1 6
24 1 15
22 1 6
17 1 14
11 2 1
9 1 6
4 1 2
4 1 14
6 1 11
20 1 18
20 1 3
19 1 18
19 2 24
6 1 1
2 1 1
1 2 14
11 2 11
1 2 11
? 1 b'CppProgramData/6/1012.cpp'

1 2 3
19 2 13
20 1 2
12 1 10
18 1 19
4 2 4
7 1 6
14 1 4
26 1 20
13 2 19
4 1 1
14 1 6
17 1 16
6 1 12
8 1 4
8 2 13
15 2 16
19 2 22
1 2 7
11 2 5
18 1 22
6 1 11
15 1 6
17 1 15
18 1 8
18 1 13
3 2 18
19 1 17
1 1 1
6 1 5
1 5 1
1 1 7
1 2 10
12 1 1
20 1 1
14 2 15
8 2 8
17 2 18
16 1 6
2 2 1
19 2 19
7 2 7
1 4 1
9 2 9
13 1 6
22 1 6
17 1 14
11 2 1
9 1 6
4 1 2
4 1 14
13 2 13
10 1 9
20 1 18
20 1 3
19 1 18
6 1 1
2 1 1
1 2 14
1 2 11
? 1 b'CppProgramData/6/1030.cpp'

1 2 3
13 2 24
20 1 2
12 1 10
1 1 7
4 2 4
7 1 6
18 1 24
26 1 20
13 2 19
17 1 15
14 1 6
17 1 16
23 1 18
8 1 4
8 2 13
15 2 16
19 2 22
6 1 12
11 2 5
18 1 22
6 1 11
15 1 6
18 1 8
8 2 8
18 1 13
3 2 18
19 1 17
20 1 3
23 2 28
1 1 1
6 1 5
1 5 1
24 1 23
18 1 19
1 2 10
12 1 1
20 1 1
24 1 15
14 2 15
15 2 23
5 2 11
1 2 7
16 1 6
2 2 1
17 2 18
7 2 7
24 1 28
1 4 1
4 1 1
9 2 9
13 1 6
22 1 6
17 1 14
11 2 1
9 1 6
4 1 2
13 2 13
10 1 9
20 1 18
28 1 24
19 1 18
19 2 24
6 1 1
2 1 1
11 2 11
1 2 11
? 1 b'CppProgramData/6/1041.cpp'

1 2 3
19 2 13
20 1 2
12 1 10
18 1 19
4 2 4
7 1 6
18 1 24
26 1 20
8 2 8
17 1 15
14 1 6
17 1 16
23 1 18
8 1 4
8 2 13
15 2 16
19 2 22
6 1 12
11 2 5
18 1 22
6 1 11
15 1 6
18 1 8
18 1 13
3 2 18
19 1 17
1 1 1
6 1 5
1 5 1
24 1 23
1 1 7
1 2 10
12 1 1
20 1 1
13 2 24
24 1 15
14 2 15
15 2 23
23 2 25
5 2 11
1 2 7
25 1 18
16 1 6
13 2 19
2 2 1
9 2 9
17 2 18
7 2 7
19 2 19
1 4 1
4 1 1
24 1 25
13 1 6
22 1 6
17 1 14
11 2 1
9 1 6
4 1 2
13 2 13
10 1 9
20 1 18
20 1 3
19 1 18
6 1 1
2 1 1
11 2 11
1 2 11
? 1 b'CppProgramData/6/1070.cpp'

1 2 3
19 2 13
12 1 10
18 1 19
4 2 4
7 1 6
26 1 20
13 2 19
17 1 15
14 1 6
17 1 16
6 1 12
8 1 4
8 2 13
15 2 16
1 2 7
11 2 5
6 1 11
10 1 9
15 1 6
8 2 19
18 1 8
18 1 13
3 2 18
19 1 17
13 2 8
1 1 1
6 1 5
1 5 1
1 1 7
1 2 10
12 1 1
20 1 1
14 2 15
17 2 18
16 1 6
2 2 1
19 2 19
7 2 7
1 4 1
9 2 9
13 1 6
17 1 14
11 2 1
9 1 6
4 1 2
4 1 14
13 2 13
4 1 1
20 1 18
20 1 3
19 1 18
6 1 1
2 1 1
1 2 14
1 2 11
? 1 b'CppProgramData/6/1079.cpp'

1 2 3
19 2 13
20 1 2
3 2 18
18 1 19
4 2 4
7 1 6
26 1 20
8 2 8
17 1 15
14 1 6
17 1 16
18 1 13
8 1 4
15 2 16
19 2 22
17 2 18
11 2 5
6 1 11
4 1 1
15 1 6
18 1 8
5 2 11
6 1 5
1 5 1
1 1 7
13 2 19
18 1 22
20 1 1
14 2 15
1 1 1
1 2 7
16 1 6
2 2 1
7 2 7
1 4 1
19 2 19
13 1 6
22 1 6
17 1 14
11 2 1
4 1 2
4 1 14
13 2 13
19 1 17
20 1 18
20 1 3
19 1 18
6 1 1
2 1 1
1 2 14
1 2 11
11 2 11
? 1 b'CppProgramData/6/1095.cpp'

1 2 3
19 2 13
20 1 2
3 2 18
1 1 7
7 1 6
26 1 20
17 1 15
14 1 6
17 1 16
18 1 13
8 1 4
8 2 13
15 2 16
19 2 22
17 2 18
11 2 5
6 1 11
4 1 1
15 1 6
8 2 19
18 1 8
13 2 8
5 2 11
6 1 5
1 5 1
18 1 19
13 2 19
18 1 22
20 1 1
14 2 15
8 2 8
1 2 7
1 1 1
16 1 6
2 2 1
7 2 7
1 4 1
19 2 19
13 1 6
22 1 6
17 1 14
11 2 1
4 1 2
13 2 13
19 1 17
20 1 18
20 1 3
19 1 18
6 1 1
2 1 1
1 2 11
11 2 11
? 1 b'CppProgramData/6/1108.cpp'

1 2 3
19 2 13
20 1 2
3 2 18
18 1 19
4 2 4
7 1 6
26 1 20
6 1 18
17 1 15
14 1 6
17 1 16
18 1 13
8 1 4
8 2 13
15 2 16
19 2 22
17 2 18
11 2 5
6 1 11
15 1 6
18 1 8
19 1 17
1 1 1
6 1 5
1 5 1
1 1 7
18 1 6
13 2 19
18 1 22
20 1 1
14 2 15
1 2 7
16 1 6
2 2 1
7 2 7
1 4 1
19 2 19
13 1 6
22 1 6
17 1 14
11 2 1
4 1 2
4 1 14
13 2 13
4 1 1
20 1 18
20 1 3
19 1 18
6 1 1
2 1 1
1 2 14
1 2 11
? 1 b'CppProgramData/6/1120.cpp'

1 2 3
1 4 1
20 1 2
27 1 15
18 1 19
4 2 4
7 1 6
14 1 4
27 1 18
